,Unnamed: 0,Unnamed: 0.1,est,se
0,0,0,IPS,2.8855737055161698e-06
1,1,1,DR,2.365950962637965e-06
2,2,2,DM,3.822728020098854e-06
3,3,3,SNIPS,2.9193996956716728e-06
4,4,4,SwitchDR,2.932855148144035e-06
5,5,5,MIPS,2.682232211436647e-06
6,6,6,MIPS (w/ SLOPE),1.596319876282502e-06
7,7,7,Learned MIPS OneHot,1.469001787627848e-06
8,8,8,Learned MIPS FineTune,2.2487304823564543e-06
9,9,9,Learned MIPS Combined,1.6859116124477848e-06
10,10,10,IPS,3.900062737066734e-06
11,11,11,DR,3.890841280417117e-06
12,12,12,DM,4.62263223620024e-06
13,13,13,SNIPS,3.906950005307153e-06
14,14,14,SwitchDR,4.344878922448189e-06
15,15,15,MIPS,3.781734730398401e-06
16,16,16,MIPS (w/ SLOPE),2.76031228051948e-06
17,17,17,Learned MIPS OneHot,1.815907065064873e-06
18,18,18,Learned MIPS FineTune,1.825627451135892e-06
19,19,19,Learned MIPS Combined,2.765052624771631e-06
20,20,20,IPS,5.6725980172383775e-06
21,21,21,DR,3.975915058802303e-06
22,22,22,DM,1.5777090455095347e-05
23,23,23,SNIPS,5.548630860503485e-06
24,24,24,SwitchDR,3.975915058802303e-06
25,25,25,MIPS,4.860837820069318e-06
26,26,26,MIPS (w/ SLOPE),2.4920006729268204e-06
27,27,27,Learned MIPS OneHot,2.501267633380396e-06
28,28,28,Learned MIPS FineTune,2.8815602222806512e-06
29,29,29,Learned MIPS Combined,2.8701945749126933e-06
30,30,30,IPS,4.6109902678010805e-06
31,31,31,DR,5.407671391498876e-06
32,32,32,DM,5.514173777850058e-06
33,33,33,SNIPS,4.680920648206298e-06
34,34,34,SwitchDR,5.407671391498876e-06
35,35,35,MIPS,4.632337908905646e-06
36,36,36,MIPS (w/ SLOPE),3.5361782062834368e-06
37,37,37,Learned MIPS OneHot,2.5451351711133302e-06
38,38,38,Learned MIPS FineTune,2.930191120993032e-06
39,39,39,Learned MIPS Combined,3.159405099692879e-06
40,40,40,IPS,2.676318169176713e-06
41,41,41,DR,3.715134307930723e-06
42,42,42,DM,8.284107921665235e-06
43,43,43,SNIPS,2.573067100710476e-06
44,44,44,SwitchDR,7.11107385882253e-06
45,45,45,MIPS,2.380183180106182e-06
46,46,46,MIPS (w/ SLOPE),1.945684207354201e-06
47,47,47,Learned MIPS OneHot,2.273767848014058e-06
48,48,48,Learned MIPS FineTune,1.4717094274960335e-06
49,49,49,Learned MIPS Combined,2.405066916237139e-06
50,50,50,IPS,2.74814716350342e-06
51,51,51,DR,1.945481603765866e-06
52,52,52,DM,1.129317111851275e-05
53,53,53,SNIPS,2.7993865573872475e-06
54,54,54,SwitchDR,3.8024782184864015e-06
55,55,55,MIPS,2.7864442256623416e-06
56,56,56,MIPS (w/ SLOPE),2.085314513232969e-06
57,57,57,Learned MIPS OneHot,1.9383017620750047e-06
58,58,58,Learned MIPS FineTune,1.7146987187172032e-06
59,59,59,Learned MIPS Combined,2.2979986820550744e-06
60,60,60,IPS,5.216919347717637e-06
61,61,61,DR,5.717079670593519e-06
62,62,62,DM,1.47518754359148e-05
63,63,63,SNIPS,5.140720907603249e-06
64,64,64,SwitchDR,2.6937115900394786e-06
65,65,65,MIPS,5.380110860825378e-06
66,66,66,MIPS (w/ SLOPE),2.035614158869545e-06
67,67,67,Learned MIPS OneHot,2.1612973632850383e-06
68,68,68,Learned MIPS FineTune,2.541048694549355e-06
69,69,69,Learned MIPS Combined,2.5977809197955184e-06
70,70,70,IPS,1.5721561181682713e-08
71,71,71,DR,1.327813046232173e-07
72,72,72,DM,1.9379884259600647e-05
73,73,73,SNIPS,7.022778318963984e-09
