,Unnamed: 0,Unnamed: 0.1,est,se
0,0,0,IPS,2.726757507614498e-06
1,1,1,DR,2.498202915301959e-06
2,2,2,DM,3.142093508088226e-07
3,3,3,SNIPS,2.6361650645628985e-06
4,4,4,SwitchDR,2.319009850547747e-06
5,5,5,MIPS,2.4900513914900696e-06
6,6,6,MIPS (w/ SLOPE),1.866924149069283e-06
7,7,7,Learned MIPS OneHot,2.1565934852217547e-06
8,8,8,Learned MIPS FineTune,2.391112225080376e-06
9,9,9,Learned MIPS Combined,2.089325050269638e-06
10,10,10,IPS,4.25495261986052e-06
11,11,11,DR,2.914918897819068e-06
12,12,12,DM,5.845169313732952e-06
13,13,13,SNIPS,4.265286900196967e-06
14,14,14,SwitchDR,2.914918897819068e-06
15,15,15,MIPS,3.5490448938211404e-06
16,16,16,MIPS (w/ SLOPE),3.3712695079128472e-06
17,17,17,Learned MIPS OneHot,2.7268344673664265e-06
18,18,18,Learned MIPS FineTune,2.565691406597087e-06
19,19,19,Learned MIPS Combined,2.9594984523163982e-06
20,20,20,IPS,1.5803548424551714e-06
21,21,21,DR,1.4033034857582514e-06
22,22,22,DM,4.680654682876055e-06
23,23,23,SNIPS,1.528081752938867e-06
24,24,24,SwitchDR,4.9848859472332655e-06
25,25,25,MIPS,1.434728076676138e-06
26,26,26,MIPS (w/ SLOPE),1.5013481478556415e-06
27,27,27,Learned MIPS OneHot,1.4576192192942025e-06
28,28,28,Learned MIPS FineTune,1.371114850153307e-06
29,29,29,Learned MIPS Combined,1.5234447416255464e-06
30,30,30,IPS,4.2423214535904e-06
31,31,31,DR,3.756374842009987e-06
32,32,32,DM,1.8498537074339063e-06
33,33,33,SNIPS,4.210637756721787e-06
34,34,34,SwitchDR,1.7945575807645377e-06
35,35,35,MIPS,4.358453175537127e-06
36,36,36,MIPS (w/ SLOPE),2.730142129517456e-06
37,37,37,Learned MIPS OneHot,3.101509169608318e-06
38,38,38,Learned MIPS FineTune,3.373445560414963e-06
39,39,39,Learned MIPS Combined,3.582177271541505e-06
40,40,40,IPS,3.7551062389494073e-06
41,41,41,DR,4.2813206541099785e-06
42,42,42,DM,4.9926676689291227e-05
43,43,43,SNIPS,3.615081136983288e-06
44,44,44,SwitchDR,4.2813206541099785e-06
45,45,45,MIPS,3.767300208165561e-06
46,46,46,MIPS (w/ SLOPE),1.986549351202938e-06
47,47,47,Learned MIPS OneHot,2.276882383197586e-06
48,48,48,Learned MIPS FineTune,2.215950170887134e-06
49,49,49,Learned MIPS Combined,2.480891297346915e-06
50,50,50,IPS,3.350311627080108e-06
51,51,51,DR,1.769602968503353e-06
52,52,52,DM,9.240469158262708e-06
53,53,53,SNIPS,3.251917543202165e-06
54,54,54,SwitchDR,1.769602968503353e-06
55,55,55,MIPS,3.222173867569555e-06
56,56,56,MIPS (w/ SLOPE),2.7249049471638706e-06
57,57,57,Learned MIPS OneHot,3.270036341775952e-06
58,58,58,Learned MIPS FineTune,3.140877704095153e-06
59,59,59,Learned MIPS Combined,3.03171142978722e-06
60,60,60,IPS,3.942931614446115e-06
61,61,61,DR,2.583017641286217e-06
62,62,62,DM,3.8443849921964206e-05
63,63,63,SNIPS,3.9235237229093145e-06
64,64,64,SwitchDR,5.138834246261143e-06
65,65,65,MIPS,3.858812211955973e-06
66,66,66,MIPS (w/ SLOPE),2.128103063928288e-06
67,67,67,Learned MIPS OneHot,2.3684981090599374e-06
68,68,68,Learned MIPS FineTune,1.968306053446771e-06
69,69,69,Learned MIPS Combined,2.438591449032377e-06
70,70,70,IPS,2.966258125201601e-07
71,71,71,DR,1.620995865354567e-07
72,72,72,DM,2.955153697159349e-06
73,73,73,SNIPS,2.4619709772518654e-07
74,74,74,SwitchDR,2.4345157945295924e-08
75,75,75,MIPS,6.765766692887253e-07
76,76,76,MIPS (w/ SLOPE),1.5972553916279328e-06
77,77,77,Learned MIPS OneHot,1.150888263115983e-06
78,78,78,Learned MIPS FineTune,1.349552716231624e-06
79,79,79,Learned MIPS Combined,9.31785599307318e-07
80,80,80,IPS,2.629955162024133e-06
81,81,81,DR,2.452960914317682e-06
82,82,82,DM,1.1500731443289289e-05
83,83,83,SNIPS,2.718084562309441e-06
84,84,84,SwitchDR,2.691871268350371e-06
85,85,85,MIPS,2.5319853352539484e-06
86,86,86,MIPS (w/ SLOPE),1.348561637612301e-06
87,87,87,Learned MIPS OneHot,1.3671270220946125e-06
88,88,88,Learned MIPS FineTune,1.943413448181668e-06
89,89,89,Learned MIPS Combined,1.8970612334929144e-06
90,90,90,IPS,4.763086474015086e-06
91,91,91,DR,5.780147724152903e-06
92,92,92,DM,2.7521399484482985e-06
93,93,93,SNIPS,4.745632680466328e-06
94,94,94,SwitchDR,3.414898072454885e-06
95,95,95,MIPS,4.857463092808504e-06
96,96,96,MIPS (w/ SLOPE),3.200001532205492e-06
97,97,97,Learned MIPS OneHot,3.9254982083293385e-06
98,98,98,Learned MIPS FineTune,3.679579901477944e-06
99,99,99,Learned MIPS Combined,3.678575501184064e-06
100,100,100,IPS,4.352137186623455e-06
101,101,101,DR,4.102822185650273e-06
102,102,102,DM,1.1706201221024527e-05
103,103,103,SNIPS,4.257628590306555e-06
104,104,104,SwitchDR,2.742926721207976e-06
105,105,105,MIPS,3.900050667915613e-06
106,106,106,MIPS (w/ SLOPE),2.4385906094459293e-06
107,107,107,Learned MIPS OneHot,2.737874691337526e-06
108,108,108,Learned MIPS FineTune,3.096393982447362e-06
109,109,109,Learned MIPS Combined,3.0880588359606484e-06
110,110,110,IPS,2.741785075888097e-06
111,111,111,DR,5.283480350906213e-06
112,112,112,DM,5.846501368817421e-06
113,113,113,SNIPS,2.704246833636117e-06
114,114,114,SwitchDR,5.283480350906213e-06
115,115,115,MIPS,2.7128584164680728e-06
116,116,116,MIPS (w/ SLOPE),2.2819336512977807e-06
117,117,117,Learned MIPS OneHot,2.321886424518276e-06
118,118,118,Learned MIPS FineTune,2.6166767594903054e-06
119,119,119,Learned MIPS Combined,2.477788926663312e-06
120,120,120,IPS,3.4958889634294234e-06
121,121,121,DR,3.8047787229567166e-06
122,122,122,DM,1.290963395236035e-05
123,123,123,SNIPS,3.5391287414628668e-06
124,124,124,SwitchDR,4.601501971216641e-06
125,125,125,MIPS,3.45929102296774e-06
126,126,126,MIPS (w/ SLOPE),1.6580612688732617e-06
127,127,127,Learned MIPS OneHot,1.964536885643904e-06
128,128,128,Learned MIPS FineTune,2.0871978805230933e-06
129,129,129,Learned MIPS Combined,2.241434551170276e-06
130,130,130,IPS,5.52957882115224e-06
131,131,131,DR,4.94369375569311e-06
132,132,132,DM,1.723419812516397e-05
133,133,133,SNIPS,5.593985890764211e-06
134,134,134,SwitchDR,5.208306106166293e-06
135,135,135,MIPS,6.8897683436540015e-06
136,136,136,MIPS (w/ SLOPE),4.534342494354566e-06
137,137,137,Learned MIPS OneHot,4.44080607405868e-06
138,138,138,Learned MIPS FineTune,5.553369937073038e-06
139,139,139,Learned MIPS Combined,5.064936345523254e-06
140,140,140,IPS,3.481633748597972e-06
141,141,141,DR,3.5843605944873395e-06
142,142,142,DM,1.0574632310747724e-06
143,143,143,SNIPS,3.5254338356565303e-06
144,144,144,SwitchDR,3.5843605944873395e-06
145,145,145,MIPS,4.032673457397486e-06
146,146,146,MIPS (w/ SLOPE),3.560364169885412e-06
147,147,147,Learned MIPS OneHot,3.617302691801808e-06
148,148,148,Learned MIPS FineTune,3.759667699585447e-06
149,149,149,Learned MIPS Combined,3.892142971475183e-06
150,150,150,IPS,5.823735260443259e-06
151,151,151,DR,5.103025701869127e-06
152,152,152,DM,6.866633307253881e-07
153,153,153,SNIPS,5.852776776318067e-06
154,154,154,SwitchDR,5.103025701869127e-06
155,155,155,MIPS,6.125497684809625e-06
156,156,156,MIPS (w/ SLOPE),2.597569975537701e-06
157,157,157,Learned MIPS OneHot,2.991595719404597e-06
158,158,158,Learned MIPS FineTune,4.441504437351354e-06
159,159,159,Learned MIPS Combined,3.590000441310012e-06
160,160,160,IPS,3.3342235933616607e-06
161,161,161,DR,3.201331396710214e-06
162,162,162,DM,3.64742399392296e-05
163,163,163,SNIPS,3.4399062933338603e-06
164,164,164,SwitchDR,7.884024278341742e-06
165,165,165,MIPS,4.28711680967598e-06
166,166,166,MIPS (w/ SLOPE),5.010185642414754e-06
167,167,167,Learned MIPS OneHot,3.836859013869959e-06
168,168,168,Learned MIPS FineTune,4.4544222906664034e-06
169,169,169,Learned MIPS Combined,3.719997707100444e-06
170,170,170,IPS,2.8393923223705856e-06
171,171,171,DR,3.927891232090977e-06
172,172,172,DM,3.023631037588061e-05
173,173,173,SNIPS,2.842491216657875e-06
174,174,174,SwitchDR,3.2067260035167123e-06
175,175,175,MIPS,3.251700789070326e-06
176,176,176,MIPS (w/ SLOPE),2.4592876836712992e-06
177,177,177,Learned MIPS OneHot,2.560882748453852e-06
178,178,178,Learned MIPS FineTune,2.741108273462957e-06
