,learned-embed-dim,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
39,77.0,Figure7-learned-embed-dim-061-514b7ea4,Completed,1.0262999534606934,2023-01-24 02:55:47+01:00,2023-01-24 03:33:09+01:00,2242.0
40,82.0,Figure7-learned-embed-dim-060-75de3c8c,Completed,1.079800009727478,2023-01-24 02:34:18+01:00,2023-01-24 03:10:59+01:00,2201.0
41,58.0,Figure7-learned-embed-dim-059-899f6cb9,Completed,1.0053000450134277,2023-01-24 02:32:50+01:00,2023-01-24 03:09:11+01:00,2181.0
42,75.0,Figure7-learned-embed-dim-058-8600a97c,Completed,1.0806000232696533,2023-01-24 02:29:42+01:00,2023-01-24 03:07:28+01:00,2266.0
43,57.0,Figure7-learned-embed-dim-057-2764918f,Completed,0.9801999926567078,2023-01-24 02:29:12+01:00,2023-01-24 03:06:44+01:00,2252.0
44,56.0,Figure7-learned-embed-dim-056-30aec8fa,Completed,0.9904999732971191,2023-01-24 02:28:37+01:00,2023-01-24 03:04:58+01:00,2181.0
45,14.0,Figure7-learned-embed-dim-055-09df4aff,Completed,0.7705000042915344,2023-01-24 02:22:56+01:00,2023-01-24 02:56:11+01:00,1995.0
46,55.0,Figure7-learned-embed-dim-054-b52971ec,Completed,1.0081000328063965,2023-01-24 02:22:22+01:00,2023-01-24 02:58:53+01:00,2191.0
47,74.0,Figure7-learned-embed-dim-053-64d876f8,Completed,1.0809999704360962,2023-01-24 02:21:23+01:00,2023-01-24 02:58:19+01:00,2216.0
48,71.0,Figure7-learned-embed-dim-052-ee1ceab1,Completed,0.9969000220298767,2023-01-24 02:18:44+01:00,2023-01-24 02:55:51+01:00,2227.0
49,54.0,Figure7-learned-embed-dim-051-bc86550c,Completed,0.9742000102996826,2023-01-24 02:18:42+01:00,2023-01-24 02:55:03+01:00,2181.0
50,80.0,Figure7-learned-embed-dim-050-c7153423,Completed,0.972000002861023,2023-01-24 01:57:24+01:00,2023-01-24 02:34:00+01:00,2196.0
