,Unnamed: 0,Unnamed: 0.1,est,se
0,0,0,IPS,1.7975988975208686e-06
1,1,1,DR,4.719073389608585e-06
2,2,2,DM,1.353903855464038e-06
3,3,3,SNIPS,1.8108125245907627e-06
4,4,4,SwitchDR,2.324923616890416e-06
5,5,5,MIPS,2.3832778972340707e-06
6,6,6,MIPS (w/ SLOPE),1.2669214996569808e-06
7,7,7,Learned MIPS OneHot,1.2464568959633165e-06
8,8,8,Learned MIPS FineTune,5.892902984248988e-07
9,9,9,Learned MIPS Combined,1.2895426428792983e-06
10,10,10,IPS,5.820250305327466e-07
11,11,11,DR,2.388348440436741e-06
12,12,12,DM,2.603458840517137e-07
13,13,13,SNIPS,6.6401549630274e-07
14,14,14,SwitchDR,4.913867140992145e-10
15,15,15,MIPS,5.67680801377013e-07
16,16,16,MIPS (w/ SLOPE),7.276649904375296e-07
17,17,17,Learned MIPS OneHot,5.146219509557797e-07
18,18,18,Learned MIPS FineTune,8.597493590596758e-08
19,19,19,Learned MIPS Combined,5.769867375574709e-07
20,20,20,IPS,6.464334979384849e-06
21,21,21,DR,2.741664012212724e-06
22,22,22,DM,1.1193071090840569e-05
23,23,23,SNIPS,6.844204251505813e-06
24,24,24,SwitchDR,5.693568532609725e-06
25,25,25,MIPS,6.316309884141801e-06
26,26,26,MIPS (w/ SLOPE),3.5640024378099574e-06
27,27,27,Learned MIPS OneHot,1.5108442503139549e-06
28,28,28,Learned MIPS FineTune,2.1535151594951685e-06
29,29,29,Learned MIPS Combined,2.1259990171719115e-06
30,30,30,IPS,1.3683086681704782e-05
31,31,31,DR,1.7781739626208025e-05
32,32,32,DM,1.545266161032502e-06
33,33,33,SNIPS,1.3663012962481328e-05
34,34,34,SwitchDR,1.35339279015067e-06
35,35,35,MIPS,1.2571066151350845e-05
36,36,36,MIPS (w/ SLOPE),6.0038264472843895e-06
37,37,37,Learned MIPS OneHot,4.262081464165671e-06
38,38,38,Learned MIPS FineTune,5.49396149697926e-06
39,39,39,Learned MIPS Combined,5.452631668140006e-06
40,40,40,IPS,3.398660562983464e-06
41,41,41,DR,1.836238221243916e-06
42,42,42,DM,1.7789635362932153e-05
43,43,43,SNIPS,3.2234332484035848e-06
44,44,44,SwitchDR,1.0825245031961723e-05
45,45,45,MIPS,3.201251670087481e-06
46,46,46,MIPS (w/ SLOPE),2.747962859783394e-06
